-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::ge         0.10%        1.857s         0.10%        1.892s      61.889us     279.533ms         0.03%     304.665ms       9.964us           0 b       2.41 Kb      37.30 Gb      36.62 Gb         30576  
void cub::DeviceScanKernel<cub::DeviceScanPolicy<uns...         0.00%       0.000us         0.00%       0.000us       0.000us     275.580ms         0.03%     275.580ms       9.183us           0 b           0 b           0 b           0 b         30010  
                                   cudaEventElapsedTime         0.00%      38.130ms         0.00%      38.130ms       1.271us     228.401ms         0.02%     228.401ms       7.613us           0 b           0 b           0 b           0 b         30000  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     219.651ms         0.02%     219.651ms       0.664us           0 b           0 b           0 b           0 b        330552  
                                               aten::gt         0.04%     745.634ms         0.04%     774.174ms      25.473us     196.716ms         0.02%     291.773ms       9.600us           0 b       3.73 Kb      44.64 Gb      43.17 Gb         30392  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     196.356ms         0.02%     196.356ms       6.543us           0 b           0 b           0 b           0 b         30010  
void at_cuda_detail::cub::DeviceReduceKernel<at_cuda...         0.00%       0.000us         0.00%       0.000us       0.000us     182.474ms         0.02%     182.474ms       1.425us           0 b           0 b           0 b           0 b        128056  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     176.733ms         0.02%     176.733ms       3.928us           0 b           0 b           0 b           0 b         44997  
                                 aten::_index_put_impl_         0.04%     845.871ms         0.77%       14.714s     325.955us     176.733ms         0.02%       12.867s     285.038us           0 b           0 b           0 b    -123.21 Gb         45141  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     171.493ms         0.02%     171.493ms       2.858us           0 b           0 b           0 b           0 b         60010  
                                            aten::where         0.09%        1.703s         0.16%        3.060s     100.084us     163.195ms         0.02%     253.380ms       8.287us           0 b           0 b     130.11 Gb      -1.56 Gb         30576  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     162.282ms         0.02%     162.282ms       5.409us           0 b           0 b           0 b           0 b         30000  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     128.440ms         0.01%     128.440ms      37.197us           0 b           0 b           0 b           0 b          3453  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1905.440s
Self CUDA time total: 1002.922s
